,Unnamed: 0,global_id,Caption,NameOfStation,lat,long
502,502,1774088,metro,Южная,55.6209851,37.6090099
503,503,1774089,metro,Южная,55.623323,37.6098201
504,504,1774090,metro,Сретенский бульвар,55.766286,37.636316
505,505,1774092,metro,Савёловская,55.793108,37.589704
506,506,1774093,metro,Савёловская,55.79377,37.585234
507,507,1774094,metro,Савёловская,55.793586,37.584376
508,508,1774096,metro,Тимирязевская,55.8190858,37.5749218
509,509,1774097,metro,Тимирязевская,55.8189829,37.5743134
510,510,1774098,metro,Шипиловская,55.6201443,37.7432401
511,511,1774099,metro,Ясенево,55.6055443,37.5348837
512,512,1774100,metro,Ясенево,55.6061274,37.5351978
513,513,1774101,metro,Ясенево,55.6066073,37.5329575
514,514,1774102,metro,Ясенево,55.6065836,37.5314215
515,515,1774103,metro,Ясенево,55.6068801,37.5316246
516,516,1774104,metro,Ясенево,55.606294,37.5312065
517,517,1774105,metro,Ясенево,55.6056622,37.5343397
518,518,1774106,metro,Ясенево,55.6062454,37.5346237
519,519,1774107,metro,Цветной бульвар,55.771733,37.620746
520,520,1774109,metro,Домодедовская,55.6099419,37.7172912
521,521,1774110,metro,Домодедовская,55.610644,37.716669
522,522,1774111,metro,Домодедовская,55.6112163,37.7180771
523,523,1774112,metro,Бульвар Дмитрия Донского,55.568672,37.575167
524,524,1774113,metro,Бульвар Дмитрия Донского,55.568525,37.575896
525,525,1774114,metro,Улица Скобелевская,55.5484399,37.5562869
526,526,1774115,metro,Выхино,55.7154339,37.8186793
527,527,1774116,metro,Жулебино,55.6864963,37.856904
528,528,1774117,metro,Каширская,55.654154,37.6477302
529,529,1774118,metro,Каширская,55.6543598,37.6473058
530,530,1774119,metro,Каширская,55.6557509,37.6500394
531,531,1774120,metro,Каширская,55.6559507,37.6496074
532,532,1774121,metro,Кантемировская,55.636453,37.655505
533,533,1774122,metro,Кантемировская,55.634831,37.657816
534,534,1774125,metro,Домодедовская,55.610022,37.7182563
535,535,1774126,metro,Сретенский бульвар,55.7663191,37.6366915
536,536,1774130,metro,Достоевская,55.7816457,37.6141122
537,537,1774131,metro,Достоевская,55.781279,37.614141
538,538,1774132,metro,Достоевская,55.781204,37.613435
539,539,1774133,metro,Марьина роща,55.793739,37.615957
540,540,1774134,metro,Бульвар Дмитрия Донского,55.568022,37.576568
541,541,1774135,metro,Бульвар Дмитрия Донского,55.56832,37.5768837
542,542,1774136,metro,Бульвар Дмитрия Донского,55.569988,37.577874
543,543,1774137,metro,Бульвар Дмитрия Донского,55.570296,37.578132
544,544,1774138,metro,Бульвар Дмитрия Донского,55.5706249,37.5766966
545,545,1774139,metro,Аннино,55.5835081,37.5971905
546,546,1774142,metro,Улица академика Янгеля,55.596086,37.601979
547,547,1774143,metro,Пражская,55.6104776,37.602867
548,548,1774144,metro,Пражская,55.6106299,37.6044868
549,549,1774145,metro,Пражская,55.613286,37.6047011
550,550,1774146,metro,Пражская,55.613371,37.60417
551,551,1774147,metro,Южная,55.6211368,37.6079826
